lightcast_id,lightcast_label,lightcast_description,rank,similarity,esco_code,esco_label,esco_group,esco_level,esco_parent_code,esco_is_digital,esco_description,esco_uri
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",1,0.696211,0619.5,image recognition,digital_knowledge,4,0619,1,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection.",http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",2,0.687886,0211.86,motion capture,digital_knowledge,4,0211,1,The process and techniques for capturing the movement of human actors in order to create and animate digital characters that look and move as humanly as possible.,http://data.europa.eu/esco/skill/258d3de5-60fd-4336-aa7e-7700b64f5ed5
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",3,0.676785,S5.6.4.13,use capturing systems for live performance,s5_skill,4,S5.6.4,1,"Use equipment and software to track movement and other physical phenomena by image analysis, encoders or sensors to generate control signals for performing art and event applications.",http://data.europa.eu/esco/skill/2b6bc32d-c60d-435b-931f-79bd3404f8b9
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",4,0.673524,0232.24,speech recognition,digital_knowledge,4,0232,1,The development in the computing field where voice can be recognised by machines and present the results of the spoken fragment or command.,http://data.europa.eu/esco/skill/2af29864-c941-40a5-ae7b-2b6c4b92c0d7
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",5,0.659503,0612.30,data analytics,digital_knowledge,4,0612,1,The science of analysing and making decisions based on raw data collected from various sources. Includes knowledge of techniques using algorithms that derive insights or trends from that data to support decision-making processes.,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",6,0.654913,0914.68,3D body scanning technologies,digital_knowledge,4,0914,1,The principles and usage of technologies for 3D body scanning used to capture the size and shape of the human body.,http://data.europa.eu/esco/skill/9bc3b9ae-50d8-4a32-857e-8cf8d9b4ba8e
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",7,0.65382,S5.5.0.3,handle geospatial technologies,s5_skill,4,S5.5.0,1,"Can use Geospatial Technologies which involve GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing) in the daily work.",http://data.europa.eu/esco/skill/4f6b656a-54d0-48ce-9b55-ebcac5904a14
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",8,0.649734,S5.1.0.29,utilise machine learning,s5_skill,4,S5.1.0,1,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision.",http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",9,0.649674,0611.45,human-computer interaction,digital_knowledge,4,0611,1,The study of the behaviour and interaction between digital devices and human beings.,http://data.europa.eu/esco/skill/9136cbf1-7916-4f1c-bc9a-0318ee1d6016
KSZL61W5WB9CRWALSETH,Activity Recognition,"Activity Recognition refers to the process of identifying and classifying human activities based on data collected from various sensors, such as accelerometers and gyroscopes. This skill involves analyzing patterns in movement and behavior to determine specific actions, such as walking, running, or sitting. Knowledge of Activity Recognition is used in applications such as health monitoring, smart home systems, and fitness tracking, enabling the development of systems that can respond to user activities and provide relevant feedback or assistance.",10,0.641483,0619.14,computer vision,digital_knowledge,4,0619,1,"The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others.",http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",1,0.694049,0619.12.1,machine learning,digital_knowledge,5,0619.12,1,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models.",http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",2,0.677936,S5.1.0.29,utilise machine learning,s5_skill,4,S5.1.0,1,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision.",http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",3,0.609276,0542.12,statistical modeling techniques,digital_knowledge,4,0542,0,The approaches for employing statistical analysis to dataset within the data science field. It seeks to elaborate reality predictions through statistical models and explicit assumptions.,http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",4,0.602311,0688.2,data science,digital_knowledge,4,0688,1,The field of study that deals with big amount of data using AI techniques such as machine learning algorithms to predict patterns and obtain useful information to make business decisions,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",5,0.584995,0619.12.2,deep learning,digital_knowledge,4,0619,0,"The principles, methods and algorithms of deep learning, a subfield of artificial intelligence and machine learning. Common neural networks like perceptrons, feed-forward, backpropagation, and convolutional and recurrent neural networks.",http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",6,0.581245,0612.47,data mining,digital_knowledge,4,0612,1,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset.",http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",7,0.578955,0612.30,data analytics,digital_knowledge,4,0612,1,The science of analysing and making decisions based on raw data collected from various sources. Includes knowledge of techniques using algorithms that derive insights or trends from that data to support decision-making processes.,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",8,0.572048,S5.1.0.33,build recommender systems,s5_skill,4,S5.1.0,1,Construct recommendation systems based on large data sets using programming languages or computer tools to create a subclass of information filtering system that seeks to predict the rating or preference a user gives to an item.,http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",9,0.569452,0542.5,business analytics,digital_knowledge,4,0542,1,The disciplines and technologies for solving business problems through employing quantitative methods such as data analysis and statistical models.,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),"AdaBoost is a machine learning algorithm that combines multiple weak or simple models to create a stronger model, improving the accuracy and robustness of classification or regression tasks. It assigns higher weightage to wrongly classified examples, making it more adaptive to the data and achieving better generalization.",10,0.567187,S5.5.2.6.8,identify statistical patterns,s5_skill,5,S5.5.2.6,0,Analyse statistical data in order to find patterns and trends in the data or between variables.,http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",1,0.704242,0619.12.1,machine learning,digital_knowledge,5,0619.12,1,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models.",http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",2,0.694312,0612.6,distributed ledger technologies vulnerabilities,digital_knowledge,4,0612,1,"The knowledge of the essential distributed ledger vulnerabilities including exchange hack, 51% attack, exitscam, extortion, DeFi, phishing, and drawing conclusions.",http://data.europa.eu/esco/skill/cdaf66a1-eaf3-4fef-af6e-2e9bbe2c326c
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",3,0.690748,0611.28,web application security threats,digital_knowledge,4,0611,1,"The attacks, vectors, emergent threats on websites, web applications and web services, the rankings of their severity identified by dedicated communities such as OWASP.",http://data.europa.eu/esco/skill/902fb91c-3113-4004-9b4f-79aa86b638b7
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",4,0.690519,S5.1.0.13,develop code exploits,s5_skill,4,S5.1.0,1,Create and test software exploits in a controlled environment to uncover and check system bugs or vulnerabilities.,http://data.europa.eu/esco/skill/af313ba1-a39e-49ac-99ec-94630fbe4f7f
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",5,0.686127,S5.2.2.6,manage system security,s5_skill,4,S5.2.2,1,Analyse the critical assets of a company and identify weaknesses and vulnerabilities that lead to intrusion or attack. Apply security detection techniques. Understand cyber attack techniques and implement effective countermeasures.,http://data.europa.eu/esco/skill/2a3a96a3-709e-4d60-81f6-d247d6933f13
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",6,0.682341,0612.107,ethical hacking principles,digital_knowledge,4,0612,1,The set of actions that are carried out to detect vulnerabilities within a computerised system in order to improve security within an organisation. They aim to identify and address data breaches and threats in a network.,http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",7,0.673934,S5.1.0.29,utilise machine learning,s5_skill,4,S5.1.0,1,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision.",http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",8,0.672721,1031.4,cyber security,digital_knowledge,4,1031,1,"The methods and best practices that protect ICT systems, networks, computers, devices, services, processes and people against unauthorised access, modification and/or denial of service of assets.",http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",9,0.672033,0611.20,attack vectors,digital_knowledge,4,0611,1,"Paths or methods that threat actors use to exploit vulnerabilities in information networks or systems from a concrete organisation and impact its availability, integrity and confidentiality. Attack vectors may include social engineering tactics such as phishing mails or pretexting, technical exploits as SQL injection as well as buffer overflow attacks.",http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,"Adversarial Machine Learning is a specialized field focused on developing algorithms and techniques that can identify and defend against attacks on machine learning models. It involves identifying potential vulnerabilities and designing defenses that can protect against attacks from malicious actors attempting to manipulate or deceive the model. This requires a thorough understanding of both machine learning and security principles, making it a highly specialized and technical skill.",10,0.663898,S5.5.2.24,conduct threat intelligence,s5_skill,4,S5.5.2,1,"Conduct cyber threats intelligence by collecting, analysing, and interpreting data about potential cyber threats. Leverage various sources of information such as open-source intelligence (OSINT), social media, or dark web services.",http://data.europa.eu/esco/skill/78845d0c-e56f-4318-a9c6-bf75931dd520
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",1,0.762901,0619.14,computer vision,digital_knowledge,4,0619,1,"The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others.",http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",2,0.738708,0619.5,image recognition,digital_knowledge,4,0619,1,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection.",http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",3,0.734443,S5.1.0.19,develop computer vision system,s5_skill,4,S5.1.0,1,"Apply and combine different computer vision tools and methods such as image acquisition, image processing, image segmentation and classification, detection, etc. in one system to allow computers to extract information from digital images such as photographs or video.",http://data.europa.eu/esco/skill/4754d9fe-dc3a-4f8f-8ea6-5dbcea3a21ca
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",4,0.680591,0613.79,software frameworks,digital_knowledge,4,0613,1,The software development environments or tools used to improve the efficiency of new software development by providing specific features that support and guide the development.,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",5,0.6599,0613.79.3,Oracle Application Development Framework,digital_knowledge,5,0613.79,1,"The Java framework software development environment which provide specific features and components (such as enhanced reusability features, visual and declarative programming) that support and guide enterprise applications development.",http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec
KSXDCSEQS48D0MW9RVAQ,Aforge,"AForge is an open-source software framework used for computer vision and artificial intelligence applications. It provides a set of libraries and tools that allow developers to implement image and video processing, pattern recognition, machine learning, and robotics algorithms. AForge is commonly used in fields such as robotics, surveillance, medical imaging, traffic monitoring, and industrial automation.",6,0.650686,0613.68,Ajax Framework,digital_knowledge,4,0613,1,The Ajax software development environments which provide specific features and components that support and guide web applications development.,http://data.europa.eu/esco/skill/8c88d336-c249-4537-b26e-d679a85c4b9b
